borough,block,lot,address,zip_code,development,managed_by,cd,facility,borocode,bbl
BRONX,3062,21,554 EAST 181ST STREET,10457,EAST 180TH STREET-MONTEREY AVENUE,TWIN PARKS CONSOLIDATED,6,TENANT ASSOCIATION ROOM,2,2030620021
BRONX,3730,1,1060 BEACH AVENUE,10472,SOTOMAYOR HOUSES,SOTOMAYOR HOUSES,9,BRICKLAYERS SHOP,2,2037300001
BROOKLYN,90,1,185 GOLD STREET,11201,FARRAGUT,FARRAGUT,2,MAINTENANCE SHOP,3,3000900001
BROOKLYN,1466,47,494 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014660047
BROOKLYN,1470,11,537 RALPH AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700011
BROOKLYN,1631,1,855 GATES AVENUE,11221,STUYVESANT GARDENS I,STUYVESANT GARDENS I,3,CONTRACTOR PAINT SHOP/ PLASTERERS SHOP,3,3016310001
BROOKLYN,2141,19,221 DIVISION AVENUE,11211,WILLIAMS PLAZA,WILLIAMS PLAZA,1,DEVELOPMENT MAINTENANCE OFFICE,3,3021410019
BROOKLYN,2172,1,128 CLYMER STREET,11249,INDEPENDENCE,TAYLOR STREET-WYTHE AVENUE,1,PLUMBER STOREROOM,3,3021720001
BROOKLYN,3351,1,399 CENTRAL AVENUE,11221,BUSHWICK II (GROUPS B & D),HOPE GARDENS,4,BOILER,3,3033510001
BROOKLYN,3511,22,574 HOWARD AVENUE,11212,HOWARD AVENUE,PARK ROCK CONSOLIDATED,16,,3,3035110022
BROOKLYN,3794,1,412 DUMONT AVENUE,11212,VAN DYKE I,VAN DYKE I,16,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),3,3037940001
BROOKLYN,4029,1,455 BARBEY STREET,11207,BELMONT-SUTTER AREA,BOULEVARD,5,BOILER,3,3040290001
BROOKLYN,4458,35,460 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,,3,3044580035
BROOKLYN,7053,14,2943 WEST 28TH STREET,11224,CONEY ISLAND I (SITES 4 & 5),SURFSIDE GARDENS,13,,3,3070530014
BROOKLYN,7056,14,2315 SURF AVENUE,11224,CAREY GARDENS,CAREY GARDENS,13,COMMUNITY CENTER,3,3070560014
MANHATTAN,263,1,32 JACKSON STREET,10002,VLADECK II,VLADECK,3,,1,1002630001
MANHATTAN,421,52,201 ELDRIDGE STREET,10002,LOWER EAST SIDE I INFILL,GOMPERS,3,,1,1004210052
MANHATTAN,1221,7,111 WEST 90TH STREET,10024,WISE TOWERS,WISE TOWERS,7,,1,1012210007
MANHATTAN,1613,23,50 EAST 108TH STREET,10029,LEHMAN VILLAGE,LEHMAN VILLAGE,11,DEVELOPMENT MAINTENANCE OFFICE,1,1016130023
QUEENS,10148,1,159-05 109TH AVENUE,11433,SOUTH JAMAICA II,SOUTH JAMAICA I,12,,4,4101480001
BRONX,3663,1,1775 STORY AVENUE,10473,MONROE,MONROE,9,DEVELOPMENT MAINTENANCE AREA,2,2036630001
BROOKLYN,71,1,233 SANDS STREET,11201,FARRAGUT,FARRAGUT,2,,3,3000710001
BROOKLYN,1341,1,1625 DEAN STREET,11213,WEEKSVILLE GARDENS,ALBANY,8,GLAIZER SHOP,3,3013410001
BROOKLYN,1470,35,1764 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700035
BROOKLYN,1470,39,506 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700039
BROOKLYN,1598,1,971 DEKALB AVENUE,11221,ROOSEVELT I,ROOSEVELT,3,DAY CARE CENTER (VACATED DUE TO HAZARDOUS CONDITIONS),3,3015980001
BROOKLYN,3797,1,460 DUMONT AVENUE,11212,WOODSON,WOODSON,16,SENIOR CENTER,3,3037970001
BROOKLYN,4263,40,336 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,,3,3042630040
BROOKLYN,4510,1,1258 LORING AVENUE,11208,PINK,PINK,5,,3,3045100001
BROOKLYN,7067,1,3110 SURF AVENUE,11224,CONEY ISLAND,SURFSIDE GARDENS,13,DEVELOPMENT MAINTENANCE OFFICE,3,3070670001
MANHATTAN,338,1, ,10002,GOMPERS,GOMPERS,3,QUONSET HUT,1,1003380001
MANHATTAN,375,45,721 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,BOILER,1,1003750045
MANHATTAN,387,20,620 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,,1,1003870020
MANHATTAN,416,1,200 ELDRIDGE STREET,10002,LOWER EAST SIDE I INFILL,GOMPERS,3,,1,1004160001
MANHATTAN,1610,23,55 EAST 104TH STREET,10029,CARVER,CARVER,11,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),1,1016100023
MANHATTAN,1636,1,127GAR EAST 108TH STREET,10029,CLINTON,CLINTON,11,GARAGE,1,1016360001
MANHATTAN,1649,1,1955 2ND AVENUE,10029,WASHINGTON,WASHINGTON,11,BOILER,1,1016490001
MANHATTAN,1788,9,221 EAST 123RD STREET,10035,POLICE SERVICE AREA #5,NYPD HOUSING BUREAU,11,PSA #5 PRECINCT HOUSE (PRIMARY ADDRESS)/ BOILER,1,1017880009
MANHATTAN,1855,1,865 AMSTERDAM AVENUE,10025,DOUGLASS II,DOUGLASS,7,,1,1018550001
MANHATTAN,1923,29,1940 A C POWELL BOULEVARD,10026,REHAB PROGRAM (TAFT REHABS),KRAUS MANAGEMENT (PRIVATE - M/B 1),10,COMMERCIAL SPACE (STORE #4),1,1019230029
MANHATTAN,1964,1,1315 AMSTERDAM AVENUE,10027,GRANT,GRANT,9,,1,1019640001
QUEENS,15960,60,425 BEACH 40TH STREET,11691,BEACH 41ST STREET-BEACH CHANNEL DRIVE,BEACH 41ST STREET-BEACH CHANNEL DRIVE,14,LAUNDRY ROOM,4,4159600060
STATEN ISLAND,51,30,201 JERSEY STREET,10301,RICHMOND TERRACE,RICHMOND TERRACE,1,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),5,5000510030
BRONX,2263,19,180 BROOK AVENUE,10454,MILL BROOK,MILL BROOK,1,,2,2022630019
BRONX,2272,38,527 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,,2,2022720038
BRONX,2640,1,735 EAST 165TH STREET,10456,FOREST,FOREST,3,LAUNDRY ROOM,2,2026400001
BRONX,2680,13,819 EAST 167TH STREET,10459,UNION AVENUE-EAST 166TH STREET,UNION AVENUE CONSOLIDATED,3,RESIDENT ASSOCIATION OFFICE,2,2026800013
BRONX,2944,1,1805 CROTONA AVENUE,10457,MURPHY,MURPHY,6,BOILER/ PLASTERERS SHOP,2,2029440001
BRONX,4363,1,2384 PAULDING AVENUE,10469,PELHAM PARKWAY,PELHAM PARKWAY,11,,2,2043630001
BROOKLYN,401,1, ,11217,572 WARREN STREET,WYCKOFF GARDENS,6,QUONSET HUT,3,3004010001
BROOKLYN,1463,16,1740 PROSPECT PLACE,11233,PROSPECT PLAZA II,OCEAN HILL II LLC,16,,3,3014630016
BROOKLYN,1466,49,1761 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,BOILER,3,3014660049
BROOKLYN,1470,15,1720 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700015
BROOKLYN,1470,20,1730 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700020
BROOKLYN,1471,11,497 HOWARD AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710011
BROOKLYN,1471,17,1796 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014710017
BROOKLYN,1529,1,305 MACDOUGAL STREET,11233,OCEAN HILL APARTMENTS,OCEAN HILL APARTMENTS,16,COMMUNITY OPERATIONS SPACE (VACANT),3,3015290001
BROOKLYN,1635,3,714 GATES AVENUE,11221,STUYVESANT GARDENS I,STUYVESANT GARDENS I,3,,3,3016350003
BROOKLYN,1798,77,305 LEXINGTON AVENUE,11216,MARCY AVENUE-GREENE AVENUE SITE B,KRAUS MANAGEMENT (PRIVATE - M/B 1),3,,3,3017980077
BROOKLYN,1799,44,375 LEXINGTON AVENUE,11216,ARMSTRONG II,ARMSTRONG I,3,,3,3017990044
BROOKLYN,2140,26,195 DIVISION AVENUE,11211,WILLIAMS PLAZA,WILLIAMS PLAZA,1,,3,3021400026
BROOKLYN,2156,7,46 SOUTH 10TH STREET,11249,BERRY STREET-SOUTH 9TH STREET,TOMPKINS,1,,3,3021560007
BROOKLYN,2175,70,626 WYTHE PLACE,11249,TAYLOR STREET-WYTHE AVENUE,TAYLOR STREET-WYTHE AVENUE,1,BOILER,3,3021750070
BROOKLYN,3286,1,269 CENTRAL AVENUE,11221,BUSHWICK II (GROUPS A & C),HOPE GARDENS,4,BOILER,3,3032860001
BROOKLYN,3494,10,10 AMBOY STREET,11212,GARVEY (GROUP A),GARVEY,16,BOILER/ MAINTENANCE SHOP/ NYCHA PAINT SHOP/ CONTRACTOR PAINT A AND B SHOPS/ MAIN STOREROOM AND SECONDARY STORE ROOM,3,3034940010
BROOKLYN,3725,1,320 MILLER AVENUE,11207,FIORENTINO PLAZA,UNITY PLAZA,5,,3,3037250001
BROOKLYN,4486,1,820 AUTUMN AVENUE,11208,PINK,PINK,5,GARAGE,3,3044860001
BROOKLYN,4795,16,720 EAST NEW YORK AVENUE,11203,REID APARTMENTS,REID APARTMENTS,9,SENIOR CENTER,3,3047950016
BROOKLYN,7047,14,3309 SURF AVENUE,11224,O'DWYER GARDENS,O'DWYER GARDENS,13,CARPENTERS SHOP,3,3070470014
BROOKLYN,7049,15,2960 WEST 31ST STREET,11224,SURFSIDE GARDENS,SURFSIDE GARDENS,13,CONTRACT ADMINISTRATION FIELD OFFICE/ LAUNDRY ROOM,3,3070490015
MANHATTAN,325,1,126 BARUCH PLACE,10002,LAVANBURG HOMES,HENRY STREET SETTLEMENT (NON NYCHA),3,,1,1003250001
MANHATTAN,351,1,64 ESSEX STREET,10002,SEWARD PARK EXTENSION,GOMPERS,3,MAINTENANCE SHOP/ PLUMBING STOREROOM,1,1003510001
MANHATTAN,386,33,251 EAST 3RD STREET,10009,BRACETTI PLAZA,LOWER EAST SIDE CONSOLIDATED,3,BOILER,1,1003860033
MANHATTAN,716,17,401 WEST 18TH STREET,10011,FULTON,FULTON,4,,1,1007160017
MANHATTAN,723,1,264 10TH AVENUE,10001,ELLIOTT,CHELSEA,4,STOREROOM/ CARPENTER STOREROOM,1,1007230001
MANHATTAN,723,15,425 WEST 25TH STREET,10001,CHELSEA,CHELSEA,4,HPT SHOP/ STOREROOM,1,1007230015
MANHATTAN,1203,13,47 WEST 89TH STREET,10024,WSUR (BROWNSTONES),WISE TOWERS,7,,1,1012030013
MANHATTAN,1205,1,643 COLUMBUS AVENUE,10025,WSUR (SITE B) 74 WEST 92ND STREET,WISE TOWERS,7,,1,1012050001
MANHATTAN,1573,20,1780 1ST AVENUE,10128,HOLMES TOWERS,ISAACS,8,BOILER,1,1015730020
MANHATTAN,1652,1,1991 2ND AVENUE,10029,WASHINGTON,WASHINGTON,11,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),1,1016520001
MANHATTAN,1699,1,2040 1ST AVENUE,10029,WILSON,WILSON,11,,1,1016990001
MANHATTAN,1875,5,251 WEST 103RD STREET,10025,REHAB PROGRAM (DOUGLASS REHABS),KRAUS MANAGEMENT (PRIVATE - M/B 1),7,,1,1018750005
BRONX,2306,9,355 EAST 143RD STREET,10454,MOTT HAVEN,MOTT HAVEN,1,PLUMBERS SHOP,2,2023060009
BRONX,2420,9078,3115 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,4,,2,2024209078
BRONX,2665,1,815 EAST 152ND STREET,10455,ADAMS,ADAMS,1,CARPENTERS SHOP,2,2026650001
BRONX,2901,1,1385 WASHINGTON AVENUE,10456,MORRIS I,MORRIS,3,PLASTERERS SHOP,2,2029010001
BRONX,2902,36,1481 WASHINGTON AVENUE,10456,MORRIS II,MORRIS,3,,2,2029020036
BRONX,2988,19,1463 VYSE AVENUE,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,,2,2029880019
BRONX,3239,4,2660 BAILEY AVENUE,10463,BAILEY AVENUE-WEST 193RD STREET,FORT INDEPENDENCE,7,SENIOR CENTER,2,2032390004
BRONX,3593,1,750 CROES AVENUE,10473,SACK WERN,SACK WERN,9,BOILER,2,2035930001
BRONX,5263,40,3475 BIVONA STREET,10475,BOSTON SECOR,BOSTON SECOR,12,,2,2052630040
BROOKLYN,68,1,111 BRIDGE STREET,11201,FARRAGUT,FARRAGUT,2,,3,3000680001
BROOKLYN,1438,1,720 KINGSBOROUGH 7TH WALK,11233,KINGSBOROUGH,KINGSBOROUGH,16,,3,3014380001
BROOKLYN,1492,1,881 HALSEY STREET,11233,SARATOGA VILLAGE,OCEAN HILL APARTMENTS,16,,3,3014920001
BROOKLYN,1528,33,301 MACDOUGAL STREET,11233,OCEAN HILL APARTMENTS,OCEAN HILL APARTMENTS,16,,3,3015280033
BROOKLYN,1595,24,400 HART STREET,11206,ROOSEVELT II,ROOSEVELT,3,COMMUNITY CENTER / SENIOR CENTER,3,3015950024
BROOKLYN,1635,41,770 GATES AVENUE,11221,STUYVESANT GARDENS I,STUYVESANT GARDENS I,3,BRICKLAYERS SHOP,3,3016350041
BROOKLYN,1802,51,260 LEXINGTON AVENUE,11216,ARMSTRONG I,ARMSTRONG I,3,DEVELOPMENT MANAGEMENT OFFICE,3,3018020051
BROOKLYN,2007,1,483 CARLTON AVENUE,11238,ATLANTIC TERMINAL SITE 4B,WYCKOFF GARDENS,2,SATELLITE DEVELOPMENT MANAGEMENT OFFICE/ ROOFTOP LEASE LOCATION,3,3020070001
BROOKLYN,3315,1,331 CENTRAL AVENUE,11221,HOPE GARDENS,HOPE GARDENS,4,DAY CARE CENTER,3,3033150001
BROOKLYN,3316,1,176 MENAHAN STREET,11237,BUSHWICK II CDA (GROUP E),HOPE GARDENS,4,,3,3033160001
BROOKLYN,3512,51,32 GRAFTON STREET,11212,HOWARD AVENUE,PARK ROCK CONSOLIDATED,16,,3,3035120051
BROOKLYN,3784,1,545 DUMONT AVENUE,11207,UNITY PLAZA (SITES 4-27),UNITY PLAZA,5,,3,3037840001
BROOKLYN,7053,12,2926 WEST 25TH STREET,11224,CONEY ISLAND I (SITES 4 & 5),SURFSIDE GARDENS,13,,3,3070530012
BROOKLYN,7057,12, ,11224,CAREY GARDENS,CAREY GARDENS,13,GARAGE,3,3070570012
MANHATTAN,258,1,340 CHERRY STREET,10002,LA GUARDIA,LA GUARDIA,3,COMPACTOR BAG STORAGE ROOM/ GLASS SHOP/ CABINET AND BATHTUB STORAGE ROOM/ BRICKLAYERS STORAGE SHOP,1,1002580001
MANHATTAN,378,17,373 EAST 8TH STREET,10009,LOWER EAST SIDE III,KRAUS MANAGEMENT (PRIVATE - M/B 1),3,BOILER,1,1003780017
MANHATTAN,908,17,225 EAST 27TH STREET,10016,STRAUS,STRAUS,6,PERFORMING ARTS CENTER,1,1009080017
MANHATTAN,1626,21,1774 3RD AVENUE,10029,LEXINGTON,WASHINGTON,11,NYPD HOUSING BUREAU OFFICE/ BOILER,1,1016260021
MANHATTAN,1637,1,120 EAST 110TH STREET,10029,CLINTON,CLINTON,11,COMMUNITY CENTER/ DAY CARE CENTER,1,1016370001
MANHATTAN,2015,5,2537 A C POWELL BOULEVARD,10039,SAMUEL (CITY),SAMUEL,10,COMMERCIAL SPACE (STORE #1),1,1020150005
QUEENS,12335,44,164-01 FOCH BOULEVARD,11434,BAISLEY PARK,BAISLEY PARK,12,FHA ACQUIRED HOMES MANAGEMENT OFFICE/ CARPENTERS SHOP/ PLUMBERS SHOP,4,4123350044
STATEN ISLAND,51,1,111 JERSEY STREET,10301,RICHMOND TERRACE,RICHMOND TERRACE,1,DEVELOPMENT MAINTENANCE OFFICE/ GLAZIERS SHOP STORAGE ROOM/ MAIN STOREROOM/ PLUMBERS SHOP STORAGE ROOM/ SALT & SAND STORAGE ROOM/ JANITORIAL SUPPLY STORAGE ROOM/ MAINTENANCE SHOP STORAGE ROOM/ HPT STORAGE ROOM,5,5000510001
BRONX,2271,1,505 EAST 144TH STREET,10454,"BETANCES II, 9A",BETANCES,1,,2,2022710001
BRONX,2272,5,511 EAST 146TH STREET,10455,BETANCES IV,BETANCES,1,CARPENTERS/ PLASTERERS SHOP,2,2022720005
BRONX,2282,57,443 EAST 137TH STREET,10454,"BETANCES II, 18",MITCHEL,1,MAINTENANCE SHOP,2,2022820057
BRONX,2390,24,450 EAST 169TH STREET,10456,MORRISANIA,WEBSTER,3,PLASTERERS SHOP,2,2023900024
BRONX,2429,28,1115 CLAY AVENUE,10456,CLAREMONT REHAB (GROUP 2),CLAREMONT CONSOLIDATED,4,BOILER,2,2024290028
BRONX,2434,57,1122 FINDLAY AVENUE,10456,CLAREMONT REHAB (GROUP 4),CLAREMONT CONSOLIDATED,4,,2,2024340057
BRONX,2434,80,1105 TELLER AVENUE,10456,CLAREMONT REHAB (GROUP 3),CLAREMONT CONSOLIDATED,4,COMMUNITY OPERATIONS SPACE (VACANT)/ BOILER,2,2024340080
BRONX,2680,19,818 HOME STREET,10459,DAVIDSON,UNION AVENUE CONSOLIDATED,3,BOILER/ BRICKLAYERS SHOP/ PLASTERERS SHOP,2,2026800019
BRONX,2749,25,1080 EAST 165TH STREET,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,BOILER,2,2027490025
BRONX,2757,1,1084 BRYANT AVENUE,10459,EAST 165TH STREET-BRYANT AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),2,,2,2027570001
BRONX,2989,1,941 EAST 172ND STREET,10460,EAST 173RD STREET-VYSE AVENUE,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,OFFICE SPACE (VACANT),2,2029890001
BRONX,3130,100,2021 BOSTON ROAD,10460,1010 EAST 178TH STREET,MURPHY,6,,2,2031300100
BRONX,3261,102,3340 BAILEY AVENUE,10463,FORT INDEPENDENCE STREET-HEATH AVENUE,FORT INDEPENDENCE,8,DEVELOPMENT MANAGEMENT OFFICE/ BOILER/ LAUNDRY ROOM,2,2032610102
BRONX,3265,1,5496 BROADWAY,10463,MARBLE HILL,MARBLE HILL,8,,2,2032650001
BRONX,3534,1,575 CASTLE HILL AVENUE,10473,CASTLE HILL,CASTLE HILL,9,GLAZIERS SHOP/ PLUMBERS SHOP,2,2035340001
BRONX,3537,1,580 CASTLE HILL AVENUE,10473,CASTLE HILL,CASTLE HILL,9,,2,2035370001
BROOKLYN,1585,1,1060 MYRTLE AVENUE,11206,303 VERNON AVENUE,SUMNER,3,COMPUTER LAB,3,3015850001
BROOKLYN,1631,31,885 GATES AVENUE,11221,STUYVESANT GARDENS I,STUYVESANT GARDENS I,3,,3,3016310031
BROOKLYN,1804,10,360 LEXINGTON AVENUE,11216,ARMSTRONG II,ARMSTRONG I,3,,3,3018040010
BROOKLYN,1809,62,499 GATES AVENUE,11216,ARMSTRONG II,ARMSTRONG I,3,,3,3018090062
BROOKLYN,1888,177,110 WAVERLY AVENUE,11205,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,2,,3,3018880177
BROOKLYN,1965,75,143 GATES AVENUE,11238,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,2,,3,3019650075
BROOKLYN,2145,8,46 SOUTH 9TH STREET,11249,BERRY STREET-SOUTH 9TH STREET,TOMPKINS,1,,3,3021450008
BROOKLYN,2157,6,84 SOUTH 10TH STREET,11249,BERRY STREET-SOUTH 9TH STREET,TOMPKINS,1,,3,3021570006
BROOKLYN,3276,1,251 CENTRAL AVENUE,11221,BUSHWICK II (GROUPS A & C),HOPE GARDENS,4,BOILER,3,3032760001
BROOKLYN,3297,1,289 CENTRAL AVENUE,11221,BUSHWICK II (GROUPS A & C),HOPE GARDENS,4,BOILER,3,3032970001
BROOKLYN,3342,1,375 CENTRAL AVENUE,11221,BUSHWICK II (GROUPS B & D),HOPE GARDENS,4,BOILER,3,3033420001
BROOKLYN,3511,46,602 HOWARD AVENUE,11212,HOWARD AVENUE,PARK ROCK CONSOLIDATED,16,,3,3035110046
BROOKLYN,3745,1,230 POWELL STREET,11212,LOW HOUSES,LOW HOUSES,16,DEVELOPMENT MANAGEMENT OFFICE,3,3037450001
BROOKLYN,3874,7,733 SNEDIKER AVENUE,11207,FHA REPOSSESSED HOUSES (GROUP V),BAISLEY PARK,5,,3,3038740007
BROOKLYN,3993,1,2211 PITKIN AVENUE,11207,FIORENTINO PLAZA,UNITY PLAZA,5,,3,3039930001
BROOKLYN,4055,12,305 ATKINS AVENUE,11208,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,5,,3,3040550012
BROOKLYN,4397,1,295 COZINE AVENUE,11207,LINDEN,LINDEN,5,GLAZIERS STORAGE,3,3043970001
BROOKLYN,4481,16,504 FOUNTAIN AVENUE,11208,EAST NEW YORK CITY LINE,CYPRESS HILLS,5,BOILER,3,3044810016
BROOKLYN,4508,1,1210 LORING AVENUE,11208,PINK,PINK,5,,3,3045080001
BROOKLYN,7007,1,2820 WEST 32ND STREET,11224,SURFSIDE GARDENS,SURFSIDE GARDENS,13,PLASTERERS SHOP,3,3070070001
BROOKLYN,7015,15,2824 WEST 23RD STREET,11224,CAREY GARDENS,CAREY GARDENS,13,,3,3070150015
MANHATTAN,267,24,345 MADISON STREET,10002,VLADECK,VLADECK,3,,1,1002670024
MANHATTAN,387,144,637 EAST 5TH STREET,10009,LOWER EAST SIDE II,LOWER EAST SIDE CONSOLIDATED,3,BOILER,1,1003870144
MANHATTAN,724,1,288 10TH AVENUE,10001,ELLIOTT,CHELSEA,4,STOVE STOREROOM/ CARPENTER STOREROOM,1,1007240001
MANHATTAN,933,25,340 EAST 28TH STREET,10016,344 EAST 28TH STREET,STRAUS,6,CONTRACT ADMINISTRATION FIELD OFFICE,1,1009330025
MANHATTAN,1084,9,525 WEST 55TH STREET,10019,HARBORVIEW TERRACE,AMSTERDAM,4,SATELLITE DEVELOPMENT MANAGEMENT OFFICE/ BOILER/ JANITORIAL AND MAINTENANCE SUPPLY ROOMS,1,1010840009
MANHATTAN,1204,56,64 WEST 91ST STREET,10024,WSUR (BROWNSTONES),WISE TOWERS,7,,1,1012040056
MANHATTAN,1207,50,48 WEST 94TH STREET,10025,REHAB PROGRAM (WISE REHAB),WISE TOWERS,7,,1,1012070050
MANHATTAN,1241,25,690 AMSTERDAM AVENUE,10025,DE HOSTOS APARTMENTS,WISE TOWERS,7,HEALTH CLINIC,1,1012410025
MANHATTAN,1608,23,55 EAST 102ND STREET,10029,CARVER,CARVER,11,SENIOR CENTER,1,1016080023
MANHATTAN,1615,23,80 EAST 110TH STREET,10029,LEHMAN VILLAGE,LEHMAN VILLAGE,11,CHILD WELFARE PROGRAM,1,1016150023
MANHATTAN,1620,23,65 EAST 112TH STREET,10029,TAFT,TAFT,11,,1,1016200023
MANHATTAN,1626,1,115 EAST 98TH STREET,10029,LEXINGTON,WASHINGTON,11,DAY CARE CENTER,1,1016260001
MANHATTAN,1654,11,2029 2ND AVENUE,10029,WHITE,WILSON,11,SENIOR  CENTER / BOILER,1,1016540011
MANHATTAN,1718,1,180 LENOX AVENUE,10026,REHAB PROGRAM (TAFT REHABS),KRAUS MANAGEMENT (PRIVATE - M/B 1),10,COMMERCIAL SPACE (STORE #1),1,1017180001
MANHATTAN,2037,1,2850 FREDERICK DOUGLASS BOULEVARD,10039,HARLEM RIVER II,HARLEM RIVER,10,BOILER,1,1020370001
MANHATTAN,2107,59,1943 AMSTERDAM AVENUE,10032,BETHUNE GARDENS,HARLEM RIVER,12,,1,1021070059
MANHATTAN,2132,47,2340 AMSTERDAM AVENUE,10033,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),FORT WASHINGTON,12,BOILER/ AFTER SCHOOL PROGRAM,1,1021320047
QUEENS,10125,63,107-08 160TH STREET,11433,SOUTH JAMAICA II,SOUTH JAMAICA I,12,JANITORIAL STOREROOM,4,4101250063
QUEENS,12235,22,116-80 GUY BREWER BOULEVARD,11434,BAISLEY PARK,BAISLEY PARK,12,SENIOR CENTER/ ROOFTOP LEASE LOCATION,4,4122350022
BRONX,2303,21,370 EAST 141ST STREET,10454,MOTT HAVEN,MOTT HAVEN,1,PLAYGROUND (MANAGED BY NYC DEPARTMENT OF PARKS & RECREATION),2,2023030021
BRONX,2372,1,1162 WASHINGTON AVENUE,10456,1162-1176 WASHINGTON AVENUE,CLAREMONT CONSOLIDATED,3,COMMUNITY OPERATIONS SPACE (VACANT)/ BOILER,2,2023720001
BRONX,2409,9059,3200 PARK AVENUE,10451,MORRISANIA AIR RIGHTS,MORRISANIA AIR RIGHTS,3,,2,2024099059
BRONX,2434,18,1150 COLLEGE AVENUE,10456,CLAREMONT REHAB (GROUP 5),CLAREMONT CONSOLIDATED,4,BOILER/ BRICKLAYERS SHOP,2,2024340018
BRONX,2434,34,1113 FINDLAY AVENUE,10456,CLAREMONT REHAB (GROUP 5),CLAREMONT CONSOLIDATED,4,BOILER,2,2024340034
BRONX,3007,36,1317 WEST FARMS ROAD,10459,WEST FARMS ROAD REHAB,BUILDING MANAGEMENT ASSOCIATES (PRIVATE - BX 1),3,STOREROOMS,2,2030070036
BRONX,4171,24,3031 MIDDLETOWN ROAD,10461,MIDDLETOWN PLAZA,EASTCHESTER GARDENS,10,SATELLITE DEVELOPMENT MANAGEMENT OFFICE,2,2041710024
BRONX,4431,1,2430 BOSTON ROAD,10467,BOSTON ROAD PLAZA,PELHAM PARKWAY,11,COMMON ROOM/ ELEVATOR SERVICE-BRONX NORTH & BRONX SOUTH,2,2044310001
BROOKLYN,943,69,367 DOUGLASS STREET,11217,FHA REPOSSESSED HOUSES (GROUP IX),BAISLEY PARK,6,,3,3009430069
BROOKLYN,1352,1,1400 BERGEN STREET,11213,ALBANY II,ALBANY,8,,3,3013520001
BROOKLYN,1460,1,333 HOPKINSON AVENUE,11233,BROWN,GARVEY,16,LAUNDRY ROOM/ STORAGE ROOM,3,3014600001
BROOKLYN,1470,8,545 RALPH AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700008
BROOKLYN,1470,9,543 RALPH AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700009
BROOKLYN,1470,10,541 RALPH AVENUE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,BOILER,3,3014700010
BROOKLYN,1470,17,1724 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700017
BROOKLYN,1470,18,1726 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700018
BROOKLYN,1470,19,1728 STERLING PLACE,11233,HOWARD AVENUE-PARK PLACE,PARK ROCK CONSOLIDATED,16,,3,3014700019
